OBJECTID,ACREAGE,LU_2030,Shape_Length,Shape_Area
82,3.621907880000000,AG,1922.498132569792688,157769.676257346582133
83,0.275999270000000,CL,478.951733729285195,12022.480110744021658
84,16.097194840000000,CL,8104.531044769085383,701191.002571389661171
85,8.240957040000000,CG,3255.663963608629729,358974.652586447889917
86,382.826218480000023,SP,18389.122894514410291,16675843.373499345034361
87,2.947768310000000,CL,2065.387296004100790,128404.273790003644535
88,8.987970239999999,CG,3186.518294870808859,391514.417571452504490
89,2.062603060000000,CL,1264.493428066222350,89846.629874873688095
90,1.195770630000000,CL,918.823552317404278,52087.560085086253821
91,2.616188560000000,CL,1562.475530232524989,113960.717671499398421
92,0.615249650000000,CL,704.437444273572510,26800.167468060670217
93,1.393227310000000,CL,1110.790637976302833,60688.739063526751124
94,2.443385480000000,CL,1611.657088764573700,106433.445707930324716
95,0.361812380000000,CL,512.564985882417091,15760.484165279971421
96,0.398306460000000,CL,578.348366429533712,17350.160004930159630
97,1.032697450000000,CL,878.930911968440796,44950.064657531125704
98,8.700956250000001,CL,4185.572395889835207,379012.138318952231202
99,1.096088420000000,CL,934.593387538158595,47745.420654461428057
100,31.935270180000000,CG,7910.260553359089499,1391094.804841097909957
101,4.474600180000000,CL,2305.985382305952498,194912.804260630422505
102,0.595127520000000,CL,810.297668229289798,25923.650963708641939
103,4.872925950000000,CL,2287.269591167520048,212263.805332249845378
104,1.187451000000000,CL,1073.030412219943400,51725.158738647056452
105,41.938401349999999,CG,11543.935572459869945,1826829.455590914003551
106,1.393032260000000,CL,1070.107021149277443,60680.242722708688234
107,7.694727140000000,CG,4354.998143124496892,335180.973402426519897
108,1.905033440000000,CL,1686.287040475036974,82982.924822191445855
109,8.154143149999999,CL,3603.110031061204154,355193.054843908583280
110,0.157388430000000,CL,335.176404558764773,6855.812645200471707
111,1.146458240000000,CL,1033.872827015981784,49939.521216751258180
112,14.255841540000000,CL,5018.396594999853733,620981.973351100692526
113,5.535090930000000,CG,2395.235572654307816,241107.596665384189691
114,277.263903819999996,SP,19570.425840968589910,12077567.339990148320794
115,144.989608890000000,AG,9864.765371445717392,6315722.100125606171787
116,57.281032609999997,AG,8454.084441391763903,2495151.799782834015787
117,3.845788630000000,AG,1895.018623376744699,167521.882741667039227
118,38.515208389999998,AG,5191.804161739964911,1677715.766647563781589
119,68.506337160000001,AG,7272.238642414913556,2984124.110182605218142
120,97.390851909999995,AG,8286.211695484398660,4242328.539897388778627
121,91493.756387059998815,AG,507329.211867529258598,3985452086.364421367645264
122,71791.455011319994810,AG,546376.468450195388868,3127223271.362608909606934
123,3389.148876799999925,AG,118790.332840987975942,147630734.548691391944885
124,594.128934250000043,AG,29644.582408866313926,25880152.854996263980865
125,451.111222259999977,AG,30709.910111834993586,19650326.239916909486055
126,351.350026280000009,AG,17594.663585941183555,15304745.925660157576203
127,246.375787050000014,AG,23380.179765317730926,10732086.355590548366308
128,243.850236770000009,AG,16254.302985825008363,10622073.825181091204286
129,152.160969219999998,AG,13096.962822477971713,6628105.306610674597323
130,87.872902850000003,AG,10163.852024233317934,3827728.337122876662761
131,30.410529090000001,AG,5054.794168862617880,1324677.348618496675044
132,29.327209369999999,AG,5469.455273835020307,1277488.130072060972452
133,15.947452029999999,AG,4050.386623805748513,694668.231617477606051
134,11.439404100000001,AG,3630.503727674659785,498298.449458006303757
135,5.763768000000000,AG,2076.635681390379432,251068.729954367678147
136,5.725304640000000,AG,2428.872742677816859,249393.272549451474333
137,5.095723020000000,AG,1852.739756718179478,221968.806792035873514
138,4.924520270000000,AG,3472.368694505245003,214511.244695031287847
139,4.736142750000000,AG,1882.673786261064151,206305.553081808699062
140,2.411291440000000,AG,1890.202254361156292,105035.434839949928573
141,1.689482390000000,AG,2390.833261374192261,73593.558330880885478
142,0.469581930000000,AG,1412.056351947386929,20454.906960228076059
143,0.245460290000000,AG,1199.323391932940012,10692.207644284520939
144,0.081161900000000,AG,286.058302054979833,3535.398250905305758
145,0.016158950000000,AG,94.146037405414901,703.880931915853353
146,0.016158890000000,AG,94.145809790907535,703.878421345019092
147,0.016158620000000,AG,94.145018375708375,703.866535399401982
148,0.002276040000000,AG,148.694600749961950,99.144004841458639
149,1428.969333550000101,City,50935.688889288256178,62245655.186304777860641
150,200.733084899999994,City,11891.163424698655945,8743898.202613197267056
151,6482.497795729999780,City,121419.928704857928096,282376464.649098217487335
152,14724.066598190000150,City,119065.058978035012842,641377322.612621784210205
153,890.627062150000029,City,25093.574911143274221,38795559.644629612565041
154,9725.892312590000074,City,150854.226897233689670,429247365.985614478588104
155,144.475087660000014,IN,11057.672017125043567,6293309.645056364126503
156,5.546065020000000,IN,2163.711243959334752,241585.626098398381146
157,0.474705120000000,IN,641.776165418192932,20678.072160088180681
158,12.472621309999999,IN,3669.311295521391912,543305.210833867429756
159,26.807145490000000,IN,4742.742608270701567,1167714.586491021094844
160,13.150890900000000,IN,3500.959530129578525,572850.516148441005498
161,9.581184589999999,IN,2906.597005940889630,417354.731185817858204
162,39.671342140000000,IN,5258.292994075022762,1728076.751445025671273
164,4.507612540000000,IN,2782.997160366025582,196350.816815563361160
165,0.882032120000000,IN,990.324997638375976,38421.165561450470705
166,42.879106839999999,IN,11873.530870257078277,1867806.422575253061950
167,11.178793290000000,IN,3694.241881148698212,486946.287731719959993
168,0.325341830000000,IN,477.444053690115538,14171.833381306090814
169,17.893782179999999,IN,7837.212598107483245,779450.033829350257292
170,106.684495650000002,IN,10380.384148003016890,4647158.041809139773250
