OBJECTID,FILEID,SUMLEV,GEOCODE,STATE,COUNTY,COUNTYCC,COUNTYNS,PLACE,PLACECC,PLACENS,TRACT,NAME,NAMELSAD,CBSA,MEMI,CSA,UA,UATYPE,UR,ZCTA,PUMA,POP100,HU100,PopulationP1,Population18_P3,HispanicOrigin,NotHispanic,NH_Wht,NH_Blk,NH_Ind,NH_Asn,NH_Hwn,NH_Oth,NH_2,Housing_Units,HU_Occupied,HU_Vacant,GQ_Institutional_Pop,GQ_Inst_CFAdult,GQ_Inst_Juvenile,GQ_Inst_Nursing,GQ_Inst_Oth,GQ_NonInst_Pop,GQ_NonInst_Student,GQ_NonInst_Military,GQ_NonInst_Oth,Shape_Length,Shape_Area
22,PLST,750,06113010513,6,113,H1,277321,18100,C1,2410296,10513,105.13,Census Tract 105.13,40900,1,472,,,,,,2964,1221,2964,2630,566,2398,1593,69,4,530,5,19,178,1221,1140,81,0,0,0,0,0,239,239,0,0,12139.8435,7001697.665
23,PLST,750,06113010602,6,113,H1,277321,18100,C1,2410296,10602,106.02,Census Tract 106.02,40900,1,472,,,,,,5597,2604,5597,5005,1360,4237,2563,174,19,1066,13,52,350,2604,2429,175,107,0,0,107,0,185,166,0,19,30588.9115,22450901.44
24,PLST,750,06113010605,6,113,H1,277321,18100,C1,2410296,10605,106.05,Census Tract 106.05,40900,1,472,,,,,,3627,1276,3627,2738,464,3163,1622,110,2,1097,0,28,304,1276,1240,36,0,0,0,0,0,1,0,0,1,19090.13443,22880696.68
25,PLST,750,06113010607,6,113,H1,277321,99999,99,99999999,10607,106.07,Census Tract 106.07,40900,1,472,,,,,,4395,1812,4395,3452,542,3853,2516,86,8,912,16,22,293,1812,1735,77,0,0,0,0,0,0,0,0,0,27301.51568,38083277.75
26,PLST,750,06113010608,6,113,H1,277321,18100,C1,2410296,10608,106.08,Census Tract 106.08,40900,1,472,,,,,,5675,2142,5675,4783,1216,4459,2028,125,11,1927,8,55,305,2142,2030,112,0,0,0,0,0,40,18,0,22,23573.46325,22834492.05
27,PLST,750,06113010609,6,113,H1,277321,18100,C1,2410296,10609,106.09,Census Tract 106.09,40900,1,472,,,,,,2575,954,2575,1996,355,2220,1739,35,7,190,0,31,218,954,939,15,1,0,1,0,0,0,0,0,0,14384.53711,10201236.91
28,PLST,750,06113010610,6,113,H1,277321,18100,C1,2410296,10610,106.1,Census Tract 106.10,40900,1,472,,,,,,3721,1509,3721,3090,619,3102,1963,68,3,796,3,28,241,1509,1423,86,0,0,0,0,0,167,0,0,167,17804.56081,17934753.95
29,PLST,750,06113010611,6,113,H1,277321,18100,C1,2410296,10611,106.11,Census Tract 106.11,40900,1,472,,,,,,1673,651,1673,1339,363,1310,921,25,10,215,5,5,129,651,613,38,12,0,12,0,0,0,0,0,0,9227.901476,5184470.06
30,PLST,750,06113010701,6,113,H1,277321,18100,C1,2410296,10701,107.01,Census Tract 107.01,40900,1,472,,,,,,4779,2328,4779,4248,780,3999,2737,111,13,766,8,53,311,2328,2160,168,0,0,0,0,0,140,83,0,57,20701.30643,22268486.27
31,PLST,750,06113010703,6,113,H1,277321,18100,C1,2410296,10703,107.03,Census Tract 107.03,40900,1,472,,,,,,5438,1930,5438,4924,943,4495,2713,131,4,1268,5,29,345,1930,1811,119,0,0,0,0,0,878,868,0,10,15970.32944,14190469.47
32,PLST,750,06113010704,6,113,H1,277321,18100,C1,2410296,10704,107.04,Census Tract 107.04,40900,1,472,,,,,,2275,958,2275,1976,330,1945,1386,56,1,302,4,20,176,958,908,50,0,0,0,0,0,67,28,0,39,14102.78585,9225416.227
33,PLST,750,06113010800,6,113,H1,277321,86328,C1,2412300,10800,108,Census Tract 108,40900,1,472,,,,,,3824,1392,3824,2895,2123,1701,1315,54,34,147,11,12,128,1392,1331,61,0,0,0,0,0,126,0,0,126,26439.29055,41878829.1
34,PLST,750,06113010901,6,113,H1,277321,86328,C1,2412300,10901,109.01,Census Tract 109.01,40900,1,472,,,,,,5595,1923,5595,4136,3266,2329,1700,103,49,230,7,12,228,1923,1852,71,87,0,0,87,0,10,0,0,10,21201.17548,21001004.3
35,PLST,750,06113010902,6,113,H1,277321,86328,C1,2412300,10902,109.02,Census Tract 109.02,40900,1,472,,,,,,6385,2436,6385,5008,3613,2772,2050,127,39,330,17,20,189,2436,2361,75,115,0,1,114,0,51,0,0,51,21154.33432,20856098.48
36,PLST,750,06113011001,6,113,H1,277321,86328,C1,2412300,11001,110.01,Census Tract 110.01,40900,1,472,,,,,,6744,2648,6744,5122,3661,3083,2287,119,48,336,27,38,228,2648,2587,61,96,0,0,96,0,0,0,0,0,24488.4774,24716919.49
37,PLST,750,06113011002,6,113,H1,277321,86328,C1,2412300,11002,110.02,Census Tract 110.02,40900,1,472,,,,,,3244,1415,3244,2631,866,2378,2087,39,7,69,6,26,144,1415,1380,35,0,0,0,0,0,6,0,0,6,21518.35998,17270363.21
38,PLST,750,06113011101,6,113,H1,277321,86328,C1,2412300,11101,111.01,Census Tract 111.01,40900,1,472,,,,,,2922,1141,2922,2299,1475,1447,1201,27,17,72,0,12,118,1141,1087,54,49,0,0,49,0,10,0,0,10,15943.29937,14100272.75
39,PLST,750,06113011102,6,113,H1,277321,86328,C1,2412300,11102,111.02,Census Tract 111.02,40900,1,472,,,,,,5123,1608,5123,3733,3517,1606,926,53,23,466,13,13,112,1608,1556,52,0,0,0,0,0,29,0,0,29,15845.01344,13974798.17
40,PLST,750,06113011103,6,113,H1,277321,86328,C1,2412300,11103,111.03,Census Tract 111.03,40900,1,472,,,,,,3271,1075,3271,2456,1802,1469,947,47,16,312,11,22,114,1075,1050,25,0,0,0,0,0,7,0,0,7,15850.08522,13947156.21
41,PLST,750,06113011203,6,113,H1,277321,86328,C1,2412300,11203,112.03,Census Tract 112.03,40900,1,472,,,,,,2657,1066,2657,2094,758,1899,1676,11,8,56,6,16,126,1066,1045,21,0,0,0,0,0,0,0,0,0,15739.65001,13808893.78
42,PLST,750,06113011204,6,113,H1,277321,86328,C1,2412300,11204,112.04,Census Tract 112.04,40900,1,472,,,,,,5707,2027,5707,4372,2252,3455,2670,78,26,383,22,33,243,2027,1959,68,0,0,0,0,0,14,0,0,14,26461.53595,27592571.43
43,PLST,750,06113011207,6,113,H1,277321,49045,U1,2583086,11207,112.07,Census Tract 112.07,40900,1,472,,,,,,2754,1007,2754,2151,813,1941,1634,21,13,138,3,10,122,1007,962,45,0,0,0,0,0,20,0,0,20,161988.5451,1038618121
44,PLST,750,06113011208,6,113,H1,277321,86328,C1,2412300,11208,112.08,Census Tract 112.08,40900,1,472,,,,,,7643,2489,7643,5625,2583,5060,2968,140,31,1450,22,30,419,2489,2358,131,217,213,4,0,0,20,0,0,20,316487.1154,1873882343
45,PLST,750,06113011209,6,113,H1,277321,86328,C1,2412300,11209,112.09,Census Tract 112.09,40900,1,472,,,,,,4037,1290,4037,2954,1839,2198,1067,168,12,712,35,41,163,1290,1265,25,0,0,0,0,0,52,0,0,52,25918.98823,15279325.73
46,PLST,750,06113011210,6,113,H1,277321,86328,C1,2412300,11210,112.1,Census Tract 112.10,40900,1,472,,,,,,2738,837,2738,2089,1406,1332,721,22,11,452,17,7,102,837,824,13,0,0,0,0,0,0,0,0,0,14625.11359,7728009.236
47,PLST,750,06113011211,6,113,H1,277321,86328,C1,2412300,11211,112.11,Census Tract 112.11,40900,1,472,,,,,,1653,481,1653,1251,719,934,568,24,3,211,10,8,110,481,481,0,0,0,0,0,0,0,0,0,0,9056.078152,4640280.636
48,PLST,750,06113011301,6,113,H1,277321,99999,99,99999999,11301,113.01,Census Tract 113.01,40900,1,472,,,,,,2079,743,2079,1496,1107,972,796,36,0,39,3,13,85,743,696,47,0,0,0,0,0,0,0,0,0,339865.5976,3054477683
49,PLST,750,06113011302,6,113,H1,277321,86034,C1,2412288,11302,113.02,Census Tract 113.02,40900,1,472,,,,,,3634,1246,3634,2759,1949,1685,1483,10,12,31,10,8,131,1246,1194,52,0,0,0,0,0,0,0,0,0,49361.67487,38570704.68
50,PLST,750,06113011303,6,113,H1,277321,86034,C1,2412288,11303,113.03,Census Tract 113.03,40900,1,472,,,,,,1446,570,1446,1136,667,779,658,6,5,20,3,9,78,570,534,36,0,0,0,0,0,0,0,0,0,21848.93485,24778681.22
51,PLST,750,06113011304,6,113,H1,277321,86034,C1,2412288,11304,113.04,Census Tract 113.04,40900,1,472,,,,,,1361,488,1361,992,863,498,416,5,4,18,2,6,47,488,468,20,0,0,0,0,0,7,0,0,7,14439.22702,9477125.137
52,PLST,750,06113011400,6,113,H1,277321,99999,99,99999999,11400,114,Census Tract 114,40900,1,472,,,,,,4052,1500,4052,3130,2260,1792,1468,90,27,45,7,9,146,1500,1412,88,0,0,0,0,0,11,0,0,11,475228.3004,6148628795
53,PLST,750,06113011500,6,113,H1,277321,99999,99,99999999,11500,115,Census Tract 115,40900,1,472,,,,,,5709,2061,5709,4278,2997,2712,2236,111,36,114,5,23,187,2061,1891,170,0,0,0,0,0,1,0,0,1,535768.3318,8990762869
