OBJECTID,FILEID,SUMLEV,GEOCODE,STATE,COUNTY,COUNTYCC,COUNTYNS,PLACE,PLACECC,PLACENS,TRACT,NAME,NAMELSAD,CBSA,MEMI,CSA,HU100,PopulationP1,Population18_P3,Housing_Units,HU_Occupied,HU_Vacant,Shape_Length,Shape_Area
36,PLST,750,06113011001,6,113,H1,277321,86328,C1,2412300,11001,110.01,Census Tract 110.01,40900,1,472,2648,6744,5122,2648,2587,61,24488.4774,24716919.49
37,PLST,750,06113011002,6,113,H1,277321,86328,C1,2412300,11002,110.02,Census Tract 110.02,40900,1,472,1415,3244,2631,1415,1380,35,21518.35998,17270363.21
38,PLST,750,06113011101,6,113,H1,277321,86328,C1,2412300,11101,111.01,Census Tract 111.01,40900,1,472,1141,2922,2299,1141,1087,54,15943.29937,14100272.75
39,PLST,750,06113011102,6,113,H1,277321,86328,C1,2412300,11102,111.02,Census Tract 111.02,40900,1,472,1608,5123,3733,1608,1556,52,15845.01344,13974798.17
40,PLST,750,06113011103,6,113,H1,277321,86328,C1,2412300,11103,111.03,Census Tract 111.03,40900,1,472,1075,3271,2456,1075,1050,25,15850.08522,13947156.21
41,PLST,750,06113011203,6,113,H1,277321,86328,C1,2412300,11203,112.03,Census Tract 112.03,40900,1,472,1066,2657,2094,1066,1045,21,15739.65001,13808893.78
42,PLST,750,06113011204,6,113,H1,277321,86328,C1,2412300,11204,112.04,Census Tract 112.04,40900,1,472,2027,5707,4372,2027,1959,68,26461.53595,27592571.43
43,PLST,750,06113011207,6,113,H1,277321,49045,U1,2583086,11207,112.07,Census Tract 112.07,40900,1,472,1007,2754,2151,1007,962,45,161988.5451,1038618121
44,PLST,750,06113011208,6,113,H1,277321,86328,C1,2412300,11208,112.08,Census Tract 112.08,40900,1,472,2489,7643,5625,2489,2358,131,316487.1154,1873882343
45,PLST,750,06113011209,6,113,H1,277321,86328,C1,2412300,11209,112.09,Census Tract 112.09,40900,1,472,1290,4037,2954,1290,1265,25,25918.98823,15279325.73
46,PLST,750,06113011210,6,113,H1,277321,86328,C1,2412300,11210,112.1,Census Tract 112.10,40900,1,472,837,2738,2089,837,824,13,14625.11359,7728009.236
47,PLST,750,06113011211,6,113,H1,277321,86328,C1,2412300,11211,112.11,Census Tract 112.11,40900,1,472,481,1653,1251,481,481,0,9056.078152,4640280.636
48,PLST,750,06113011301,6,113,H1,277321,99999,99,99999999,11301,113.01,Census Tract 113.01,40900,1,472,743,2079,1496,743,696,47,339865.5976,3054477683
49,PLST,750,06113011302,6,113,H1,277321,86034,C1,2412288,11302,113.02,Census Tract 113.02,40900,1,472,1246,3634,2759,1246,1194,52,49361.67487,38570704.68
50,PLST,750,06113011303,6,113,H1,277321,86034,C1,2412288,11303,113.03,Census Tract 113.03,40900,1,472,570,1446,1136,570,534,36,21848.93485,24778681.22
51,PLST,750,06113011304,6,113,H1,277321,86034,C1,2412288,11304,113.04,Census Tract 113.04,40900,1,472,488,1361,992,488,468,20,14439.22702,9477125.137
52,PLST,750,06113011400,6,113,H1,277321,99999,99,99999999,11400,114,Census Tract 114,40900,1,472,1500,4052,3130,1500,1412,88,475228.3004,6148628795
53,PLST,750,06113011500,6,113,H1,277321,99999,99,99999999,11500,115,Census Tract 115,40900,1,472,2061,5709,4278,2061,1891,170,535768.3318,8990762869
,,,,,,,,,,,,,,,,,,216403,,,,,,
