shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
3a8d1076-986f-4a12-8b14-fa4ac0f2df5b,38.59158605,-121.5439184,101,7082.74
47e2e6a3-f70d-467d-a993-5cbd5b93b78e,38.56728456,-121.5077851,112,23183.21
fee8130c-11d0-4ed4-aa80-204e57b33c5b,38.53022216,-121.7500228,108,8866.08
daa4a6c5-6c77-4dc4-89f6-4c20c59c2c6e,38.59010479,-121.5456736,67,9142.14
7ae4d65b-ccea-4afe-80e6-83b8fe2bf30d,38.6831721,-121.7932525,21,2731.73
47e2e6a3-f70d-467d-a993-5cbd5b93b78e,38.53988651,-121.7332434,41,2410
8cc45367-af84-4469-a4f8-fa528149ce91,38.68021735,-121.5914343,134,22173.14
7ae4d65b-ccea-4afe-80e6-83b8fe2bf30d,38.67083607,-121.7562128,57,9060.21
5a628da4-35c5-4a0c-bc7a-0d56758184e4,38.63411716,-121.5210084,298,47513.48
0a81a25b-f600-4a98-8fbe-3b8604f99f55,38.58130788,-121.5003518,111,14561.78
fee8130c-11d0-4ed4-aa80-204e57b33c5b,38.55850517,-121.7863289,16,2158.74
b22deccb-df2a-4aa1-8197-056fdb7524d1,38.58154873,-121.5123617,207,13180.18
1ff5077a-353f-46f6-a144-6633479680fe,38.5818937,-121.5162908,26,3851.92
41f81bd8-b36b-4874-bc75-8f22aef9b513,38.66461791,-121.7321103,43,4240.61
ca11a79b-3c35-4f1b-be36-e90944f20cce,38.66275488,-121.7632381,6,869.72
1c8cfd2f-2a30-4949-8d90-627d668f3b46,38.58064732,-121.485614,2,482.06
1ff5077a-353f-46f6-a144-6633479680fe,38.58208246,-121.5151791,24,3753.1
4f52cb74-1adb-4da5-919e-745715b6ae26,38.55052209,-121.6944468,51,9872.39
41f81bd8-b36b-4874-bc75-8f22aef9b513,38.66498591,-121.731197,46,4338.07
2edb9e1f-1266-4edf-8c37-f380305275fc,38.56078825,-121.7644712,211,35045.58
2edb9e1f-1266-4edf-8c37-f380305275fc,38.55061712,-121.776413,172,31316.95
2edb9e1f-1266-4edf-8c37-f380305275fc,38.56869757,-121.7501104,219,37213.19
5a628da4-35c5-4a0c-bc7a-0d56758184e4,38.54711135,-121.758814,79,14088.33
52e2bec4-816b-4797-9f8c-c13f69997c4e,38.6761742,-121.7436331,140,31855.9
5a628da4-35c5-4a0c-bc7a-0d56758184e4,38.54875622,-121.7260131,113,17746.35
6c7fe86b-3458-4719-a607-f9282be4dcbc,38.53402919,-121.7482921,63,30377.12
8cc45367-af84-4469-a4f8-fa528149ce91,38.66376665,-121.7655517,6,796.31
57bce3af-8193-4fbc-9976-3db4b6cd4d9e,38.5543726,-121.7425951,157,27897.76
ca11a79b-3c35-4f1b-be36-e90944f20cce,38.70916896,-122.1217172,175,38839.69
0a81a25b-f600-4a98-8fbe-3b8604f99f55,38.53923924,-121.5500216,183,24666.7
8cc45367-af84-4469-a4f8-fa528149ce91,38.55634046,-121.6940281,296,57531.11
3a8d1076-986f-4a12-8b14-fa4ac0f2df5b,38.59122937,-121.5489168,109,7563.67
2edb9e1f-1266-4edf-8c37-f380305275fc,38.54647655,-121.7675514,152,30130.72
792cca05-f7f8-4f89-8daa-55dd46d675e3,38.71043943,-122.1231764,43,4107.83
daa4a6c5-6c77-4dc4-89f6-4c20c59c2c6e,38.57982523,-121.5375228,78,11350.02
47e2e6a3-f70d-467d-a993-5cbd5b93b78e,38.54112765,-121.7331805,44,2548.52
fee8130c-11d0-4ed4-aa80-204e57b33c5b,38.5605152,-121.7862397,13,1935.18
44d8ab15-d89b-4dc1-9e61-71cfd58d4bce,38.57491678,-121.545509,66,26789.06
41f81bd8-b36b-4874-bc75-8f22aef9b513,38.66274897,-121.7657997,196,18259.3
ca11a79b-3c35-4f1b-be36-e90944f20cce,38.67756647,-121.7783591,29,4994.72
792cca05-f7f8-4f89-8daa-55dd46d675e3,38.67499671,-121.9200071,170,24927.28
cc19e021-e809-41f6-b4ce-1d90add87a38,38.55200401,-121.6954606,119,9678.79
7ae4d65b-ccea-4afe-80e6-83b8fe2bf30d,38.67128454,-121.6021479,94,23621.32
8cc45367-af84-4469-a4f8-fa528149ce91,38.55266204,-121.7162948,336,60010.15
5a628da4-35c5-4a0c-bc7a-0d56758184e4,38.67354077,-121.6408088,381,65554.98
fee8130c-11d0-4ed4-aa80-204e57b33c5b,38.53638417,-121.739811,115,10001.64
47e2e6a3-f70d-467d-a993-5cbd5b93b78e,38.57420217,-121.5035042,118,24164.13
52e2bec4-816b-4797-9f8c-c13f69997c4e,38.61844152,-121.5139795,66,8067
daa4a6c5-6c77-4dc4-89f6-4c20c59c2c6e,38.58956835,-121.5662331,56,7030.91
5c34f10f-559d-4a52-b8c5-4f250851e6f2,38.68894688,-121.7977748,73,7936.26
1c8cfd2f-2a30-4949-8d90-627d668f3b46,38.54760251,-121.7129527,81,23728.35
5a628da4-35c5-4a0c-bc7a-0d56758184e4,38.67347396,-121.6342702,380,64987.69
daa4a6c5-6c77-4dc4-89f6-4c20c59c2c6e,38.57754682,-121.4962064,113,15842.62
